model,MAE,RMSE,MAPE,R2
NaiveLastValue,1555386645.188947,2204088356.2752676,20.904872037355315,0.3085426127119506
SeasonalNaive24,2268314922.8894696,3027301577.743481,32.65902216042795,-0.30442404197723905
OLSRegression,3121389610.900159,13871879442.700565,38.24871576996735,-26.389117039820277
