policy,mean_allocated,overload_rate,total_overload_bytes,mean_overload_bytes,total_unused_bytes,mean_unused_bytes,served_traffic_ratio
BaselineFixedCapacity,13532936798.75,2.912621359223301,82802510451.75,61839066.80489171,7419919960003.0,5541389066.469753,99.23213589080414
ForecastDrivenCapacity,14666359395.697319,0.6721433905899925,10539360140.369999,7871068.065997012,8865309667004.08,6620843664.678178,99.90226387652345
